Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
TipoMedicaoChuvas: 1 = Pluviômetro, 2 = Pluviógrafo, 3 = Data logger
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Acumulado

Restrições da consulta:
Código da Estação:2243268


EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status
2243268;1;01/05/2024;1;"3,0";"5,0";23;3;3;3;3;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"3,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2243268;1;01/04/2024;1;"2,0";"3,0";22;2;3;3;3;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"2,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
2243268;1;01/03/2024;1;;;;;0;0;0;;0;"0,0";"9,0";"0,0";"13,0";"71,8";"38,0";"5,0";"0,0";"0,0";"0,0";"0,0";"0,0";"12,0";"78,0";"0,0";"0,0";"0,0";"3,0";"0,0";"0,0";"0,0";"116,0";"21,0";"18,0";;"31,0";"23,0";"0,0";"9,0";"0,0";"0,0";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2243268;1;01/02/2024;1;"38,0";"202,0";9;14;3;3;3;;0;"7,0";"0,0";"12,0";"5,0";"3,0";"23,0";"0,0";"0,0";"38,0";"14,0";"0,0";"0,0";"11,0";"0,0";"0,0";"8,0";"0,0";"0,0";"0,0";"9,0";"0,0";"0,0";"0,0";"5,0";"32,0";"14,0";"0,0";"0,0";"21,0";;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0
2243268;1;01/01/2024;1;"87,0";"413,0";28;18;3;3;3;;0;"6,0";"27,0";"14,0";"0,0";"31,0";"11,0";"0,0";"0,0";"48,0";"5,0";"7,0";"0,0";"21,0";"63,0";"0,0";"0,0";"0,0";"18,0";"5,0";"0,0";"13,0";"0,0";"29,0";"8,0";"0,0";"9,0";"0,0";"87,0";"0,0";"11,0";"0,0";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2243268;1;01/12/2023;1;"32,0";"176,0";11;10;3;3;3;;0;"0,0";"5,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"8,0";"23,0";"32,0";"0,0";"0,0";"0,0";"0,0";"11,0";"0,0";"0,0";"0,0";"0,0";"9,0";"0,0";"0,0";"17,0";"0,0";"23,0";"0,0";"0,0";"32,0";"0,0";"16,0";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2243268;1;01/11/2023;1;"87,0";"265,0";18;16;3;3;3;;0;"0,0";"8,0";"1,0";"0,0";"5,0";"0,0";"3,0";"0,0";"0,0";"7,0";"0,0";"0,0";"5,0";"0,0";"0,0";"0,0";"34,0";"87,0";"22,0";"11,0";"0,0";"38,0";"14,0";"1,0";"9,0";"0,0";"2,0";"18,0";"0,0";"0,0";;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0
2243268;1;01/10/2023;1;"96,0";"454,0";31;23;3;3;3;;0;"26,0";"7,0";"1,0";"8,0";"31,0";"0,0";"38,0";"49,0";"11,0";"6,0";"0,0";"16,0";"8,0";"2,0";"0,0";"78,0";"5,0";"1,0";"0,0";"8,0";"2,0";"0,0";"0,0";"7,0";"0,0";"0,0";"7,0";"2,0";"43,0";"2,0";"96,0";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
2243268;1;01/09/2023;1;"18,0";"64,0";30;11;1;1;1;;0;"0,0";"0,0";"1,0";"0,0";"9,0";"0,0";"1,0";"0,0";"0,0";"0,0";"1,0";"0,0";"0,0";"9,0";"0,0";"5,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"0,0";"0,0";"4,0";"0,0";"0,0";"9,0";"6,0";"18,0";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
2243268;1;01/08/2023;1;"31,0";"68,0";28;9;1;1;1;;0;"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"5,0";"0,0";"0,0";"0,0";"0,0";"3,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"1,0";"0,0";"0,0";"0,0";"6,0";"0,0";"7,0";"12,0";"31,0";"0,0";"2,0";"0,0";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
